Name ,Type of Treatment,Bed Availability,Contact Number,Website,Address,Eligible Min Ages,Eligible Max Age,Eligible Genders,Co-Occurring Disorders? ,Methadone? ,Pregnant Women? ,Disabled?,Take Uninsured?,Insurances Accepted
Brigham & Women's Faulkner - Addiction Recovery Program Inpatient,detox,0,617-983-7060,https://www.brighamandwomensfaulkner.org/programs-and-services/addiction-recovery-program/default,"1153 Centre Street 6-North, Boston, MA 02130",18,9999,All,Y,Y,?,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Steward Health Choice, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
McLean Hospital HCQ,detox,1,978-464-2331,https://www.mcleanhospital.org/addiction,"115 Mill Street, Belmont, MA 02478",18,9999,All,Y,Y,?,Y,?,All insurance
Steward St. Elizabeth Medical Center of Boston - SECAP ATS,detox,2,617-789-2574,https://www.semc.org/service-directory/substance-abuse,"736 Cambridge St., CCP 10, Boston, MA 02135",18,9999,All,Y,Y,?,Y,?,"MBHP (PCC Plan)
"
Andrew House Boston (Bay Cove),detox,5,617-862-0388,https://www.baycovehumanservices.org/andrew-house-detoxification-centers,"170 Morton St. 4-South, Boston, MA 02130",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Tufts, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), Tufts Health Together (MCO), Mass General Brigham Health Plan with Mass General
"
Arbour - North 2 Dual Diagnosis Unit,detox,0,833-227-2687,https://arbourhospital.com/,"49 Robinwood Avenue, Boston, MA 02130",18,9999,All,Y,Y,Y,Y,N,"Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan
"
Bournewood Hospital,detox,0,800-468-4358,https://www.bournewood.com/,"300 South St, Brookline, MA 02467",18,9999,male,Y,Y,N,Y,?,All insurance
"Danvers Treatment Center, Acute Treatment Services",detox,2,978-777-2121,https://bilhbehavioral.org/locations/clinical-stabilization-services-css,"111 Middleton Rd, Danvers, MA 01923",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Other, WellSense - MA Connector Care & Qualified Health Plan"
Recovery Centers of America at Danvers - Acute Treatment Center,detox,5,978-767-2847,https://recoverycentersofamerica.com/locations/danvers/,"75 Lindall St Danvers, MA 01923",18,9999,All,Y,Y,Y,Y,N,"Blue Cross - MA, Tufts, TriCare, Cigna, Aetna, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Tufts Health Together with UMASS Memorial Health, MassLaborers, ComPsych, Humana"
Dimock Substance Abuse Treatment Services C.H.C.,detox,2,617-442-8800 ext. 1320,https://dimock.org/service/behavioral-health/inpatient-detox-center-boston/,"41 Dimock St, Roxbury, MA 02119",18,9999,All,Y,Y,Y,Y,Y,"Medicare/Medicaid, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, OneCare, HSN - Health Safety Net, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA"
Gavin Quincy ATS,detox,0,617-845-5785,https://www.gavinfoundation.org/programs/quincy-detox,"43 Old Colony Ave, Quincy, MA 02170",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Blue Cross - MA, Harvard Pilgrim, United Behavioral Health, Fallon Community Health Plan/Commercial, Unicare, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA
"
Arbour HRI Hospital Dual Diagnosis Unit,detox,1,617-390-1320,https://hrihospital.com/programs-services/outpatient-services/partial-hospitalization-php/dual-diagnosis-program/,"227 Babcock St, Brookline, MA 02446",18,9999,All,Y,Y,Y,Y,N,"Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan
"
"MCAT, LLC DBA Evoke Wellness Cohasset",detox,0,954-993-2040,https://npino.com/drug-rehab/1245856335-mcat-llc/#google_vignette,"1 Chief Justice Cushing Hwy, Cohasset, MA 02025",18,9999,All,Y,Y,Y,Y,?,All insurance
Mayflower Recovery Center,detox,0,978-737-7937,https://mayflowerrecovery.com/,"362 Middlesex Ave, Wilmington, MA 01887",18,9999,male,Y,Y,N,Y,?,All insurance
The Mirasol Center for Healing (Bay Cove),detox,0,(617) 318-5118,https://www.baycovehumanservices.org/mirasol-center,"170 Morton St., 12th Flr S. Jamaica Plain, Boston, MA 02130",18,9999,female,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Tufts, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), Tufts Health Together (MCO), Mass General Brigham Health Plan with Mass General
"
New England Recovery Center (Spectrum),detox,2,877-697-3422,https://www.newenglandrecoverycenter.org/,"153 Oak St, Westborough, MA 01581",18,9999,All,N,Y,Y,Y,N,"Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, Cigna, Aetna, Unicare, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan, Mass General Brigham Health Plan with Mass General, Tufts Health Together with UMASS Memorial Health"
